0,1,2
instance-00001a79,instance-000016f8,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a94,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a64,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001acd,"[8, 44]"
instance-00001a79,instance-00001ae5,"[2, 38, 7, 43, 16, 52]"
instance-00001a79,instance-00001a7c,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a8e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a8b,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001afa,"[16, 43, 52, 7]"
instance-00001a79,instance-00001782,"[8, 2, 44, 38]"
instance-00001a79,instance-00001a9a,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001797,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001788,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a73,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-0000169b,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a6a,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001662,"[16, 43, 52, 7]"
instance-00001a79,instance-0000170d,"[8, 2, 44, 38]"
instance-00001a79,instance-0000168f,"[16, 43, 52, 7]"
instance-00001a79,instance-0000166e,"[8, 2, 44, 38]"
instance-00001a79,instance-00001a76,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a70,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a43,"[16, 43, 52, 7]"
instance-00001a79,instance-00001aee,"[8, 2, 44, 38]"
instance-00001a79,instance-00001a85,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a88,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001af1,"[2, 38, 7, 43, 16, 52]"
instance-00001a79,instance-0000178b,"[8, 44]"
instance-00001a79,instance-00001a97,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00000d8e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001677,"[16, 43, 52, 7]"
instance-00001a79,instance-00001704,"[8, 2, 44, 38]"
instance-00001a79,instance-00001716,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a6d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-000016f5,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-000016a1,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a91,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001794,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001701,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a9d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a7f,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-00001a67,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a79,instance-0000178e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016ef,instance-000016b6,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-00001680,"[50, 51, 14, 15]"
instance-000016ef,instance-00001b15,"[10, 11, 46, 47]"
instance-000016ef,instance-00001aa0,"[10, 46, 14, 15, 50, 51]"
instance-000016ef,instance-00001aa3,"[11, 47]"
instance-000016ef,instance-00001a5e,"[10, 46]"
instance-000016ef,instance-00001698,"[11, 47]"
instance-000016ef,instance-00001acd,"[50, 51, 14, 15]"
instance-000016ef,instance-00001b09,"[50, 51, 14, 15]"
instance-000016ef,instance-00001a61,"[10, 46]"
instance-000016ef,instance-0000165f,"[50, 51, 14, 15]"
instance-000016ef,instance-00001722,"[10, 11, 46, 47]"
instance-000016ef,instance-00001a4c,"[50, 51, 14, 15]"
instance-000016ef,instance-00001a4f,"[10, 11, 46, 47]"
instance-000016ef,instance-00000d91,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-000016ad,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-00001797,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-00001788,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-0000171f,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-00001aaf,"[11, 47]"
instance-000016ef,instance-00001adf,"[10, 46, 14, 15, 50, 51]"
instance-000016ef,instance-0000170d,"[50, 51, 14, 15]"
instance-000016ef,instance-000016a7,"[10, 11, 46, 47]"
instance-000016ef,instance-0000166e,"[50, 51, 14, 15]"
instance-000016ef,instance-000016fe,"[10, 11, 46, 47]"
instance-000016ef,instance-00001b06,"[50, 51, 14, 15]"
instance-000016ef,instance-00001abb,"[10, 11, 46, 47]"
instance-000016ef,instance-00001707,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-00001aee,"[50, 14]"
instance-000016ef,instance-00001a46,"[10, 51, 46, 15]"
instance-000016ef,instance-00001ac4,"[11, 47]"
instance-000016ef,instance-00001aca,"[10, 46, 14, 15, 50, 51]"
instance-000016ef,instance-000016f2,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-0000178b,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-0000168c,"[11, 47]"
instance-000016ef,instance-00001abe,"[10, 46, 14, 15, 50, 51]"
instance-000016ef,instance-00001704,"[50, 51, 14, 15]"
instance-000016ef,instance-000016c2,"[10, 11, 46, 47]"
instance-000016ef,instance-00001671,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-00001689,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-000016b0,"[10, 11, 46, 47, 15, 51]"
instance-000016ef,instance-00001683,"[50, 14]"
instance-000016ef,instance-00001665,"[50, 51, 14, 15]"
instance-000016ef,instance-00001719,"[10, 11, 46, 47]"
instance-000016ef,instance-000016b3,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-00001794,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-000016bc,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-000016c5,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-000016ef,instance-00001a52,"[10, 46, 14, 15, 50, 51]"
instance-000016ef,instance-00001ac1,"[11, 47]"
instance-000016ef,instance-00001ab2,"[11, 47]"
instance-000016ef,instance-00001ab5,"[10, 46, 14, 15, 50, 51]"
instance-000016ef,instance-0000178e,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00001668,instance-0000169e,"[41, 42, 5, 6]"
instance-00001668,instance-00001b15,"[41, 42, 5, 6]"
instance-00001668,instance-00001aa3,"[41, 42, 5, 6]"
instance-00001668,instance-00001698,"[41, 42, 5, 6]"
instance-00001668,instance-00001722,"[41, 42, 5, 6]"
instance-00001668,instance-00001af4,"[41, 42, 5, 6]"
instance-00001668,instance-00001aaf,"[41, 42, 5, 6]"
instance-00001668,instance-000016a7,"[41, 42, 5, 6]"
instance-00001668,instance-000016fe,"[41, 42, 5, 6]"
instance-00001668,instance-00001abb,"[42, 6]"
instance-00001668,instance-00001a40,"[41, 5]"
instance-00001668,instance-00001ad0,"[41, 42, 5, 6]"
instance-00001668,instance-00001ac4,"[41, 42, 5, 6]"
instance-00001668,instance-0000178b,"[41, 42, 5, 6]"
instance-00001668,instance-0000168c,"[42, 6]"
instance-00001668,instance-000016c2,"[41, 42, 5, 6]"
instance-00001668,instance-000016bf,"[41, 42, 5, 6]"
instance-00001668,instance-00001686,"[42, 6]"
instance-00001668,instance-00001ab8,"[41, 5]"
instance-00001668,instance-000016b0,"[42, 6]"
instance-00001668,instance-00001719,"[41, 42, 5, 6]"
instance-00001668,instance-0000165c,"[41, 42, 5, 6]"
instance-00001668,instance-00001aac,"[41, 42, 5, 6]"
instance-00001668,instance-00001674,"[41, 42, 5, 6]"
instance-00001668,instance-00001ac1,"[41, 42, 5, 6]"
instance-00001668,instance-00001ab2,"[41, 42, 5, 6]"
instance-00001668,instance-000016a4,"[41, 42, 5, 6]"
instance-000016f8,instance-00001a94,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001a64,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001acd,"[8, 44]"
instance-000016f8,instance-00001ae5,"[2, 38, 7, 43, 16, 52]"
instance-000016f8,instance-00001a7c,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001a8e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001a8b,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001afa,"[16, 43, 52, 7]"
instance-000016f8,instance-00001782,"[8, 2, 44, 38]"
instance-000016f8,instance-00001a9a,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001797,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001788,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001a73,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-0000169b,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-000016f8,instance-00001a6a,"[2, 38, 7, 8, 43, 44, 16, 52]"
