Compute Name,Instance UUID,Instance Name,Total CPUS,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
overcloud-AvrsReadyCompute-9,instance-00001a79,ZTE_xGW_PFU_25_4_0,8,'43','7','16','52','2','38','8',44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-9,instance-000016ef,ZTE_UMAC_15_CMP_6_S,8,'50','14','51','15','10','46','11','47',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-9,instance-00001668,ZTE_UMAC_15_CDB_4_R,4,'42','6','41','5',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-000016f8,ZTE_UMAC_15_CMP_7_S,8,'43','7','16','52','2','38','8','44',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-000016b6,ZTE_UMAC_15_SMP_8_S,8,'50','14','51','15','10','46','11','47',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-0000169e,ZTE_UMAC_15_IPB_6_S,8,'42','6','41','5','9','45','3','39',8192,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-0000179a,ZTE_vSBC_144_PP_MPE_L_3,16,'65','29','34','70','24','60','33','69','67','31','66','30','26','62','35','71',65536,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-00001a94,ZTE_xGW_PFU_25_3_0,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-00001680,ZTE_UMAC_15_CDB_5_L,4,'50','14','51','15',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-00001b15,ZTE_UMAC_15_CMP_4_S,8,'10','46','11','47','42','6','41','5',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-00001b18,ZTE_UMAC_15_CMP_21_S,8,'65','29','34','70','24','60','33','69',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-00001a64,ZTE_xGW_PFU_25_0_2,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-00001aa0,ZTE_xGW_GSU_25_11_1,6,'50','14','51','15','10','46',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-00001aa3,ZTE_xGW_GSU_25_13_1,6,'11','47','42','6','41','5',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-00001aa6,ZTE_xGW_GSU_25_31_0,6,'65','29','34','70','24','60',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-00001a49,ZTE_xGW_STU_25_7_1,4,'9','45','3','39',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-00001a5e,ZTE_xGW_MPU_25_21_0,2,'10','46',10240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-00001698,ZTE_UMAC_15_IPB_2_S,8,'11','47','42','6','41','5','9','45',8192,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-00001d41,dnsperf-tmp,4,"'2-17,38-53'","'2-17,38-53'","'2-17,38-53'","'2-17,38-53'",8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-00001acd,ZTE_xGW_GSU_25_29_0,6,'8','44','50','14','51','15',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-00001ae5,ZTE_xGW_GSU_25_17_0,6,'43','7','16','52','2','38',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-10,instance-00001a7c,ZTE_xGW_PFU_25_4_1,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-10,instance-00001ad9,ZTE_xGW_GSU_25_24_0,6,'65','29','34','70','24','60',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-10,instance-00001b09,ZTE_xGW_CDB_25_26_1,4,'50','14','51','15',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-10,instance-00001785,ZTE_vSBC_144_OMM_L,4,'33','69','67','31',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-10,instance-00001a61,ZTE_xGW_MPU_25_20_0,2,'10','46',10240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-13,instance-00001a8e,ZTE_xGW_PFU_25_0_1,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-13,instance-0000165f,ZTE_UMAC_15_CDB_3_R,4,'50','14','51','15',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-13,instance-00001722,ZTE_UMAC_15_CMP_20_S,8,'10','46','11','47','42','6','41','5',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-13,instance-00001af7,ZTE_xGW_CDB_25_27_1,4,'65','29','34','70',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-12,instance-00001a8b,ZTE_xGW_PFU_25_4_2,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-12,instance-00001a4c,ZTE_xGW_CDB_25_18_1,4,'50','14','51','15',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-12,instance-00001a4f,ZTE_xGW_STU_25_6_1,4,'10','46','11','47',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-12,instance-00001b0c,ZTE_xGW_CDB_25_25_1,4,'65','29','34','70',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-15,instance-00001afa,ZTE_xGW_CDB_25_23_1,4,'43','7','16','52',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-15,instance-00001782,ZTE_vSBC_144_OMM_R,4,'2','38','8','44',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-15,instance-0000179d,ZTE_vSBC_144_PP_MPE_L_4,16,'65','29','34','70','24','60','33','69','67','31','66','30','26','62','35','71',65536,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-15,instance-00000d91,ISB-GnDNS_1,8,'50','14','51','15','10','46','11','47',4096,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-14,instance-00001a9a,ZTE_xGW_PFU_25_3_2,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-14,instance-000016ad,ZTE_UMAC_15_SMP_4_S,8,'50','14','51','15','10','46','11','47',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-17,instance-00001797,ZTE_vSBC_144_OMP_MSPE_L,32,'43','7','16','52','2','38','8','44','50','14','51','15','10','46','11','47','65','29','34','70','24','60','33','69','67','31','66','30','26','62','35','71',98304
overcloud-AvrsReadyCompute-16,instance-00001788,ZTE_vSBC_144_PP_MPE_L_6,16,'43','7','16','52','2','38','8','44','50','14','51','15','10','46','11','47',65536,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-16,instance-00001713,ZTE_UMAC_15_CMP_17_S,8,'65','29','34','70','24','60','33','69',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-16,instance-00001af4,ZTE_xGW_GSU_25_11_0,6,'42','6','41','5','9','45',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-19,instance-00001a73,ZTE_xGW_PFU_25_0_0,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-54,instance-0000169b,ZTE_UMAC_15_IPB_5_S,8,'43','7','16','52','2','38','8','44',8192,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-54,instance-0000171f,ZTE_UMAC_15_CMP_19_S,8,'50','14','51','15','10','46','11','47',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-18,instance-00001a5b,ZTE_xGW_STUs_25_7_0,2,'9','45',10240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-18,instance-00001a6a,ZTE_xGW_PFU_25_5_0,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-18,instance-00001aaf,ZTE_xGW_GSU_25_12_1,6,'11','47','42','6','41','5',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-18,instance-00001adf,ZTE_xGW_GSU_25_10_0,6,'50','14','51','15','10','46',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-18,instance-00001ae2,ZTE_xGW_GSU_25_13_0,6,'65','29','34','70','24','60',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-48,instance-00001662,ZTE_UMAC_15_CDB_1_L,4,'43','7','16','52',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-48,instance-0000170d,ZTE_UMAC_15_CMP_14_S,8,'2','38','8','44','50','14','51','15',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-48,instance-000016a7,ZTE_UMAC_15_SMP_3_S,8,'10','46','11','47','42','6','41','5',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-48,instance-0000167a,ZTE_UMAC_15_USUP_2_S,8,'9','45','3','39','48','12','49','13',12288,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-48,instance-00001695,ZTE_UMAC_15_IPB_1_S,8,'65','29','34','70','24','60','33','69',8192,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-49,instance-0000168f,ZTE_UMAC_15_OMM_R,4,'43','7','16','52',4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-49,instance-0000166e,ZTE_UMAC_15_CMP_1_S,8,'2','38','8','44','50','14','51','15',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-49,instance-000016fe,ZTE_UMAC_15_CMP_12_S,8,'10','46','11','47','42','6','41','5',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-49,instance-0000167d,ZTE_UMAC_15_CDB_2_R,4,'9','45','3','39',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-46,instance-00001a76,ZTE_xGW_PFU_25_5_2,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-46,instance-00001b06,ZTE_xGW_CDB_25_30_1,4,'50','14','51','15',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-46,instance-00001abb,ZTE_xGW_GSU_25_16_1,6,'10','46','11','47','42','6',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-46,instance-00001a40,ZTE_xGW_GSU_25_8_0,6,'41','5','9','45','3','39',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-47,instance-00001a70,ZTE_xGW_PFU_25_0_3,8,'43','7','16','52','2','38','8','44',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-47,instance-00001707,ZTE_UMAC_15_CMP_8_S,8,'50','14','51','15','10','46','11','47',26624,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-47,instance-00001ad0,ZTE_xGW_GSU_25_19_0,6,'42','6','41','5','9','45',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-47,instance-00001ad6,ZTE_xGW_GSU_25_26_0,6,'3','39','48','12','49','13',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-47,instance-00001ad3,ZTE_xGW_GSU_25_27_0,6,'65','29','34','70','24','60',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-45,instance-00001a43,ZTE_xGW_CDB_25_17_1,4,'43','7','16','52',49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-45,instance-00001aee,ZTE_xGW_GSU_25_14_0,6,'2','38','8','44','50','14',24576,,,,,,,,,,,,,,,,,,,,,,,,,,
