Compute Name,Instance UUID,Instance Name,Total CPUS,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
overcloud-RM18AvrsReadyCompute-19,instance-0000420a,ZTE_RCP_61_GDB_103_R,4,'33','73','26','66',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-19,instance-0000425e,ZTE_RCP_61_IPI_2_L,4,'78','38','37','77',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-19,instance-000042e2,ZTE_RCP_61_CMP_313_R,4,'18','58','12','52',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-19,instance-00004300,ZTE_RCP_61_CMP_321_R,4,'8','48','13','53',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-19,instance-0000432d,ZTE_RCP_61_CMP_331_R,4,'3','43','5','45',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-19,instance-00004375,ZTE_RCP_61_CMP_358_L,4,'68','28','71','31',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-18,instance-000043e8,vDSCTB01_SSAP1_0,8,'18','58','52','12','8','48','13','53',16384,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-11,instance-000043a8,ZTE_RCP_61_CMP_377_R,4,'30','70','29','69',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-11,instance-0000436c,ZTE_RCP_61_CMP_357_R,4,'78','38','37','77',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-11,instance-00004330,ZTE_RCP_61_CMP_335_R,4,'33','73','26','66',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-11,instance-00004309,ZTE_RCP_61_CMP_326_L,4,'68','28','71','31',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-11,instance-000042d9,ZTE_RCP_61_CMP_307_R,4,'3','43','5','45',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-11,instance-0000428e,ZTE_RCP_61_CDB_766_L,4,'9','49','54','14',32768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-11,instance-00004213,ZTE_RCP_61_SMP_50_L,4,'18','58','52','12',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-RM18AvrsReadyCompute-11,instance-00004255,ZTE_RCP_61_IPI_10_L,4,'8','48','13','53',16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
