Compute Name,Instance UUID,Instance Name,Total CPUS,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
overcloud-AvrsReadyCompute-9,instance-000000f0,ZTE_MSCS_166_SPU_11_S,8,'18','58','52','12','8','48','13','53',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-9,instance-00000183,ZTE_MSCS_75_OMM_R,4,'9','49','14','54',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-9,instance-000001ad,ZTE_MSCS_75_SPU_14_S,8,'43','3','5','45','16','56','44','4',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-9,instance-000001e6,ZTE_MSCS_75_CDN_4_R,4,'28','68','31','71',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-9,instance-000002e8,ZTE_MSCS_167_SPU_5_S,8,'33','73','26','66','78','38','37','77',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-9,instance-00000471,ZTE_PS_31_08,8,'6','46','19','59','2','42','10','50',16384,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-9,instance-0000054f,vSPSISB02_SS7U_48,4,'17','57','51','11',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-000000d5,ZTE_MSCS_166_SIPI_3_S,4,'18','58','52','12',4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-0000016e,ZTE_MSCS_75_CDN_1_L,4,'13','53','9','49',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-000001cb,ZTE_MSCS_75_SPU_16_S,8,'14','54','3','43','5','45','16','56',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-00000246,vSPSISB02_CloudDB_SPSCDBNPRSU_VDU2_0,8,'68','28','71','31','33','73','26','66',36864,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-000000f3,ZTE_MSCS_166_OMP_R,2,'8','48',6144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-00000309,ZTE_MSCS_167_CDN_5_R,4,'38','78','37','77',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-8,instance-00000552,vSPSISB02_SS7U_49,4,'44','4','46','6',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-0,instance-000000de,ZTE_MSCS_166_SPU_2_S,8,'18','58','52','12','8','48','13','53',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-0,instance-00000177,ZTE_MSCS_75_OMP_L,2,'9','49',6144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-0,instance-000001a1,ZTE_MSCS_75_SPU_5_S,8,'5','45','16','56','4','44','6','46',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-0,instance-000001a4,ZTE_MSCS_75_SIPI_2_S,4,'54','14','43','3',4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-0,instance-000001ec,ZTE_MSCS_75_CDN_2_R,4,'68','28','71','31',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-0,instance-000002f4,ZTE_MSCS_167_SPU_10_S,8,'33','73','26','66','38','78','37','77',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-0,instance-0000051c,vSPSISB02_SS7U_32,4,'59','19','2','42',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-000000c0,ZTE_MSCS_166_OMM_L,4,'18','58','52','12',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-0000016b,ZTE_MSCS_75_VMP_1_S,4,'8','48','13','53',14336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-0000017a,ZTE_MSCS_75_SIPI_1_S,4,'9','49','54','14',4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-00000195,ZTE_MSCS_75_SPU_4_S,8,'3','43','5','45','16','56','4','44',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-000001d7,ZTE_MSCS_75_SPU_20_S,8,'46','6','59','19','2','42','10','50',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-00000252,test_instance,4,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-000002cd,ZTE_MSCS_167_OMP_L,2,'17','57',6144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-000002dc,ZTE_MSCS_167_SPU_2_S,8,'28','68','31','71','33','73','26','66',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-00000465,ZTE_PS_31_06,8,'78','38','37','77','70','30','29','69',16384,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-3,instance-0000053a,vSPSISB02_SS7U_41,4,'35','75','36','76',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-000000bd,ZTE_MSCS_166_OMP_L,2,'18','58',6144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-000000f9,ZTE_MSCS_166_CDN_5_L,4,'12','52','8','48',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-000001b9,ZTE_MSCS_75_SPU_7_S,8,'13','53','9','49','54','14','43','3',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-00000225,vSPSISB02_OMU_OMUBIG_1,8,'5','45','16','56','4','44','6','46',16384,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-000002c1,ZTE_MSCS_167_CDN_1_L,4,'68','28','71','31',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-0000045f,ZTE_PS_31_01,8,'33','73','26','66','38','78','37','77',16384,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-5,instance-00000531,vSPSISB02_SS7U_38,4,'70','30','29','69',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-000000ed,ZTE_MSCS_166_SPU_9_S,8,'18','58','52','12','8','48','13','53',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-00000198,ZTE_MSCS_75_SPU_3_S,8,'9','49','14','54','3','43','5','45',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-000001da,ZTE_MSCS_75_CDN_5_R,4,'68','28','71','31',34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-000002d0,ZTE_MSCS_167_OMM_R,4,'16','56','4','44',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-000002e5,ZTE_MSCS_167_SPU_3_S,8,'33','73','26','66','78','38','37','77',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-000004c2,vSPSISB02_SSAP2_27,8,'6','46','19','59','2','42','10','50',16384,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-4,instance-0000054c,vSPSISB02_SS7U_47,4,'17','57','51','11',8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-7,instance-000000ea,ZTE_MSCS_166_SPU_7_S,8,'18','58','52','12','8','48','13','53',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-7,instance-00000186,ZTE_MSCS_75_CU_L,8,'9','49','14','54','3','43','5','45',16384,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-7,instance-000001ce,ZTE_MSCS_75_SPU_15_S,8,'16','56','44','4','46','6','59','19',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-7,instance-00000240,vSPSISB02_CloudDB_SPSCDBPID3_VDU1_0,8,'28','68','31','71','33','73','26','66',24576,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-7,instance-000002e2,ZTE_MSCS_167_SPU_4_S,8,'78','38','37','77','70','30','29','69',28672,,,,,,,,,,,,,,,,,,,,,,,,
overcloud-AvrsReadyCompute-7,instance-0000046e,ZTE_PS_31_09,8,'2','42','10','50','17','57','11','51',16384,,,,,,,,,,,,,,,,,,,,,,,,
